"","rgi_id","o1region","o2region","anlys_id","cenlon","cenlat","utm_zone","area_km2","conn_lvl","surge_type","term_type","glac_name","is_rgi6","termlon","termlat","zmin_m","zmax_m","zmed_m","zmean_m","slope_deg","aspect_deg","aspect_sec","dem_source","lmax_m"
"414","RGI2000-v7.0-G-13-14928",13,"13-02",831957,73.6969531490999,39.5341485,43,2.37820556529422,0,2,9,"",0,73.7135516195019,39.5269547688496,4339.7183,4929.056,4602.908,4600.204,17.859465,94.64928,3,"COPDEM30",2658
"415","RGI2000-v7.0-G-13-14948",13,"13-02",831956,73.6974344637536,39.5156665,43,5.15933130205631,0,3,9,"",0,73.7323776446624,39.5173400008245,4167.7266,5258.227,4573.2827,4569.381,22.834995,27.9279,2,"COPDEM30",4850
"416","RGI2000-v7.0-G-13-14957",13,"13-02",830731,73.5573080571429,39.52955,43,5.94348249694869,0,1,9,"",0,73.5561553730774,39.5516717092329,3980.2053,5018.7666,4406.173,4412.9126,20.364857,339.469896316528,1,"COPDEM30",5597
"417","RGI2000-v7.0-G-13-14968",13,"13-02",830096,73.4772894614899,39.5257225,43,2.49113184638301,0,1,9,"",0,73.4751959867163,39.5344460136168,4089.5417,5001.2705,4354.402,4433.949,24.628391,345.784378051758,1,"COPDEM30",3173
"418","RGI2000-v7.0-G-13-14984",13,"13-02",829022,73.3220914393939,39.488693,43,1.02131609512814,0,1,9,"",0,73.3156280276992,39.4974604016917,4137.2847,4810.823,4353.923,4376.071,19.887108,334.458154678345,8,"COPDEM30",2213
"419","RGI2000-v7.0-G-13-14988",13,"13-02",828950,73.3104812800602,39.493106,43,0.404674572169402,0,1,9,"",0,73.3102362227218,39.4974333937572,4106.721,4663.5464,4276.8887,4321.117,31.121595,17.129725,1,"COPDEM30",976
"420","RGI2000-v7.0-G-13-14989",13,"13-02",828995,73.3178871706096,39.475974,43,1.65763956785878,0,1,9,"",0,73.306272564504,39.4771064961273,4261.379,5057.0693,4533.275,4556.037,26.812263,330.547904968262,8,"COPDEM30",2239
"421","RGI2000-v7.0-G-13-14990",13,"13-02",828920,73.3051134680792,39.472383,43,0.452221932050268,0,1,9,"",0,73.3003900601809,39.4761531113225,4221.411,4749.5674,4386.2803,4421.8584,27.587013,348.247727394104,1,"COPDEM30",1134
"422","RGI2000-v7.0-G-13-14991",13,"13-02",828870,73.2968351011052,39.472496,43,0.448426610762104,0,1,9,"",0,73.2929831887255,39.4757757374752,4162.7466,4665.5415,4352.0903,4366.366,31.361393,0.56313324,1,"COPDEM30",880
"423","RGI2000-v7.0-G-13-15011",13,"13-02",829114,73.3354438238095,39.483224,43,1.64685113626309,0,1,9,"",0,73.3522971921261,39.4936969770974,4145.595,4992.67,4548.4697,4532.1084,16.761782,13.346843,1,"COPDEM30",3436
"424","RGI2000-v7.0-G-13-15018",13,"13-02",830172,73.4863042557312,39.511925,43,2.28423084937785,0,3,9,"",0,73.4735512207577,39.5018838279276,4312.48,5336.0005,4679.4287,4722.0337,21.817305,268.08952331543,7,"COPDEM30",3081
"425","RGI2000-v7.0-G-13-15020",13,"13-02",830289,73.4987321063984,39.4887315,43,20.7555233019028,0,3,9,"",0,73.4354896516148,39.5075256087072,3867.8535,6186.5938,4869.422,4883.074,26.892141,343.255121231079,1,"COPDEM90",6814
"426","RGI2000-v7.0-G-13-15021",13,"13-02",830650,73.5473738309524,39.4983995,43,44.4364325308083,0,3,9,"",0,73.6352025419409,39.5405250256475,3732.1223,6568.91,4966.7236,4999.5874,24.882431,4.298241,1,"COPDEM90",14351
"427","RGI2000-v7.0-G-13-15043",13,"13-02",830363,73.5103633351472,39.2839565,43,0.677847032877354,0,1,9,"",0,73.5188929815897,39.2873913670484,4564.338,5321.321,5048.1333,4985.796,36.508625,17.250488,1,"COPDEM30",1357
"428","RGI2000-v7.0-G-13-15046",13,"13-02",830145,73.4824340256454,39.2832865,43,0.320744480744473,0,1,9,"",0,73.4804556956851,39.287130163753,4593.028,5169.3145,4924.787,4909.257,35.17037,349.909796714783,1,"COPDEM30",883
"429","RGI2000-v7.0-G-13-15047",13,"13-02",830076,73.474292224359,39.282951,43,0.520426191106148,0,2,9,"",0,73.4789710872459,39.2871296565554,4591.525,5251.336,4993.6304,4979.608,35.926514,21.288786,1,"COPDEM30",1132
"430","RGI2000-v7.0-G-13-15071",13,"13-02",831290,73.6166966134823,39.2341865,43,7.33172063560624,0,1,9,"",0,73.574155369614,39.2245562248964,4810.516,5573.8467,5263.6636,5244.932,11.867241,281.94359588623,7,"COPDEM30",4925
"431","RGI2000-v7.0-G-13-15101",13,"13-02",831927,73.6939906943015,39.103069,43,7.30792368244263,0,1,9,"",0,73.674445495536,39.1248972336073,4789.461,5695.449,5298.6323,5265.3066,17.095535,19.808884,1,"COPDEM30",5826
"432","RGI2000-v7.0-G-13-15102",13,"13-02",831759,73.6731741894507,39.1079555,43,0.931985308351327,0,1,9,"",0,73.6664149105779,39.1144596998018,4943.1123,5650.092,5310.9443,5291.2,24.003946,354.821477413177,1,"COPDEM30",1633
"433","RGI2000-v7.0-G-13-15213",13,"13-02",831793,73.6767512076383,39.15345,43,1.93678150494925,0,1,9,"",0,73.6587776650027,39.1608799211377,4967.602,5532.2607,5305.8906,5278.973,11.658445,299.268749237061,8,"COPDEM30",2693
"434","RGI2000-v7.0-G-13-15214",13,"13-02",831822,73.6800775848083,39.1617635,43,0.711058280039242,0,1,9,"CN5Y665D0090",0,73.6731720442363,39.1629395119372,5262.7705,5629.227,5382.115,5393.46,14.746186,274.012870788574,7,"COPDEM30",1366
"435","RGI2000-v7.0-G-13-15295",13,"13-02",828480,73.2427715426294,39.371551,43,2.52352198784514,0,1,9,"",0,73.2476545291425,39.3857390221686,4179.1636,5361.6406,4682.9526,4708.3164,25.432552,1.1890814,1,"COPDEM30",3653
"436","RGI2000-v7.0-G-13-15314",13,"13-02",827813,73.1730944915836,39.3495255,43,1.26786962166363,0,1,9,"",0,73.1825735477216,39.3464553187785,4728.1562,5728.247,5199.186,5192.237,27.80107,97.37682,3,"COPDEM30",2239
"437","RGI2000-v7.0-G-13-15316",13,"13-02",827591,73.1500474954863,39.348605,43,1.40056822842632,0,2,9,"",0,73.1407681893339,39.3380031579983,4890.4487,6052.321,5629.9854,5600.556,25.83833,171.49828,5,"COPDEM30",2744
"438","RGI2000-v7.0-G-13-15317",13,"13-02",827565,73.1474359865573,39.385291,43,7.03429027729742,0,3,9,"",0,73.1793960000515,39.4064221410735,4270.621,5998.441,4751.163,4859.8525,25.117636,2.541094,1,"COPDEM30",6349
"439","RGI2000-v7.0-G-13-15334",13,"13-02",828079,73.1972867118227,39.371381,43,13.0327439793556,0,2,9,"",0,73.2058109387285,39.3909442840165,4002.7627,6012.133,4706.164,4767.448,26.378296,17.365746,1,"COPDEM90",7443
"440","RGI2000-v7.0-G-13-15372",13,"13-02",827440,73.1268615048958,39.2395835,43,2.0335857353928,0,2,9,"",0,73.124557635447,39.2231001418697,4769.0156,6028.021,5383.4404,5377.636,24.671597,126.83696,4,"COPDEM30",4084
"441","RGI2000-v7.0-G-13-15373",13,"13-02",827303,73.1090150503099,39.2403305,43,2.64436931303408,0,2,9,"",0,73.0983921422283,39.2277947974855,4819.077,5808.774,5337.6357,5345.496,21.529455,163.24759,5,"COPDEM30",3298
"442","RGI2000-v7.0-G-13-15375",13,"13-02",827311,73.1096156816327,39.2675515,43,9.86756713246364,0,3,9,"",0,73.0578000556095,39.2513109584566,4606.6523,6006.0376,5436.336,5392.4463,24.43622,303.911785125732,8,"COPDEM30",5962
"443","RGI2000-v7.0-G-13-15387",13,"13-02",827991,73.1902598919395,39.3057755,43,1.24555649408963,0,2,9,"",0,73.1948235787079,39.3176704666401,4531.4526,5747.1626,5228.102,5194.999,24.856598,22.574665,2,"COPDEM30",3950
"444","RGI2000-v7.0-G-13-15402",13,"13-02",826700,73.0459665436209,39.296087,43,75.6556264830326,0,3,9,"",0,73.0547078619966,39.2292027820821,4361.167,6727.6577,5574.726,5541.813,23.296137,128.05595,4,"COPDEM90",19048
